name,street,city,state,zip,phone,website,description,source_url
1922,140 E Franklin St,Chapel Hill,NC,27514,(984) 999-4195,https://www.yelp.com/biz/1922-by-carolina-coffee-shop-chapel-hill,,https://www.downtownchapelhill.com/bars-restaurants
411 West,411 West Franklin Street,Chapel Hill,NC,27516,(919) 967-2782,https://www.411west.com/,"Our menu is inspired by the flavors of Italy and the Mediterranean, with a healthy California twist. We make fresh pasta in house, and our delicious thin crust pizzas are baked in a wood-fired oven imported from Italy. We prioritized fresh, local produce and ingredients long before the concept of farm to table dining became popular. We think it's a good philosophy for our way of crafting food: fre",https://www.downtownchapelhill.com/bars-restaurants
AC Lounge,214 W Rosemary St,Chapel Hill,NC,27516,(919) 969-2800,https://mi.bookmarriott.com/e-menus/38850/view?utm_term=esuf71nf#q=esuf71nf&c=b3876d96-9fac-42c9-985f-089b03587c33-SSE:1591292008,,https://www.downtownchapelhill.com/bars-restaurants
Al’s Burger Shack,516 West Franklin Street,Chapel Hill,NC,27516,(919) 904-7659,https://www.alsburgershack.com/,Amazing food I got a Sean's cheddar burger and my wife got a mookie. We shared a large fry which was huge. I have to say this is the best burger I ever had. The burgers are huge for Al's size. The staff is extremely friendly and helpful. If your in chapel hill you NEED to stop here.,https://www.downtownchapelhill.com/bars-restaurants
Alpha Pie,157 E Rosemary St,Chapel Hill,NC,27514,(919) 240-5794,https://www.google.com/maps/reserve/v/dine/c/OjzpIjxkQ2E?source=pa&opi=89978449&hl=en-US&gei=riZdZ8ueB7-IwbkPyq6osQs&sourceurl=https%3A%2F%2Fwww.google.com%2Fsearch%3Fq%3Dalpha%2Bpie%2Bunc%26sca_esv%3Dca3bd6bb63fceada%26ei%3DqSZdZ7GFILuEwbkP1_6skAc%26ved%3D0ahUKEwjx_cD50aaKAxU7QjABHVc_C3IQ4dUDCBA%26uact%3D5%26oq%3Dalpha%2Bpie%2Bunc%26gs_lp%3DEgxnd3Mtd2l6LXNlcnAiDWFscGhhIHBpZSB1bmMyBxAAGIAEGAoyBRAAGO8FMggQABiiBBiJBTIIEAAYgAQYogQyBRAAGO8FSN8SUPUOWKQRcAJ4AZABAJgBswKgAfAFqgEHMC4xLjEuMbgBA8gBAPgBAZgCA6ACrwHCAgoQABiwAxjWBBhHmAMAiAYBkAYIkgcDMi4xoAe1FA%26sclient%3Dgws-wiz-serp&ihs=6,The requested URL was not found on this server. That’s all we know.,https://www.downtownchapelhill.com/bars-restaurants
Bandido’s,159 1/2 E Franklin St,Chapel Hill,NC,27514,(919) 967-5048,http://bandidoscafe.com/,,https://www.downtownchapelhill.com/bars-restaurants
Baxter Arcade,108 N Graham St,Carrboro,NC,27510,(919) 869-7486,http://www.baxterarcade.com/,"The Baxter brings you an experience like no other bar in the NC Triangle Area. Its nerd-chic atmosphere provides the backdrop for over fifty vintage and original arcade games along with a priceless collection of pop-art, TV/movie props, and toys. We serve quality libations at our full bar, which you can enjoy at our outdoor patio space, two indoor lounge areas, our hightop table areas, or at the b",https://www.downtownchapelhill.com/bars-restaurants
Ben & Jerry’s,102 W Franklin St,Chapel Hill,NC,27516,(919) 967-9068,https://www.benjerry.com/chapelhill,,https://www.downtownchapelhill.com/bars-restaurants
Blue Horn Lounge,125 E Franklin St,Chapel Hill,NC,27514,(919) 914-9006,https://www.bluehorn.bar/,,https://www.downtownchapelhill.com/bars-restaurants
BonChon,205 E Franklin St Chapel,Hill,NC,27514,(984) 234-0788,https://www.bonchonchapelhill.com/,"BonChon Restaurant offers authentic and delicious tasting Korean cuisine in Chapel Hill, NC. BonChon's convenient location and affordable prices make our restaurant a natural choice for eat-in or take-out meals in the Chapel Hill community. Our restaurant is known for its Korean style fried chicken and high quality fresh ingredients. Come and experience our friendly atmosphere and excellent servic",https://www.downtownchapelhill.com/bars-restaurants
Brandwein’s Bagels,505 W Rosemary St,Chapel Hill,NC,27516,(919) 240-7071,https://brandweinsbagels.com/,,https://www.downtownchapelhill.com/bars-restaurants
Buns,107 N Columbia St,Chapel Hill,NC,27514,(919) 240-4746,http://bunsofchapelhill.com/,We've got Gift Certificates available for you right here on the site. Click here to get yours!,https://www.downtownchapelhill.com/bars-restaurants
Carolina Brewery,460 W Franklin St,Chapel Hill,NC,27516,(919) 942-1800,https://www.carolinabrewery.com/,"For some of us, it’s rafting the Nantahala or sailing off Masonboro Island. For others, it’s fishing and surfing OBX, strolling the Battery, tubing the Saluda, or just looking out at Lake Norman. Either way, there’s no denying there’s no place like the Carolinas.",https://www.downtownchapelhill.com/bars-restaurants
Carolina Coffee Shop,138 E Franklin St,Chapel Hill,NC,27514,(919) 942-6875,https://www.carolinacoffeeshop.com/,"Since 1922, Carolina Coffee Shop has been the living room of Chapel Hill— where first dates become anniversaries, where study sessions turn into lifelong friendships, and where three generations of Tar Heels have made memories over coffee and conversation. Carolina Coffee Shop remains locally owned and a centerpiece of any Chapel Hill Experience. We can’t wait to see you!",https://www.downtownchapelhill.com/bars-restaurants
Chimney Indian Kitchen,"D, 306 W Franklin St F STE",Chapel Hill,NC,27516,(984) 234-3671,https://www.chimneyindiankitchen.com/,"By cooking the hygienic Indian food with Miraculous Indian spices & putting into it our rich experience and passion for cooking, we want our guests to live & experience the saying of famous Greek physician Hippocrates, ""Let food be thy medicine and medicine be thy food.""",https://www.downtownchapelhill.com/bars-restaurants
Chipotle,301 W Franklin St,Chapel Hill,NC,27516,(919) 942-2091,https://locations.chipotle.com/nc/chapel-hill/301-w-franklin-st,"Chipotle is a fast-casual restaurant chain known for its customizable menu featuring burritos, bowls, quesadillas, tacos, and salads. The company is cultivating a better world by serving responsibly sourced, classically-cooked, real food with wholesome ingredients without artificial colors, flavors or preservatives. Using only 53 real ingredients, the company’s ""Food with Integrity"" principles pri",https://www.downtownchapelhill.com/bars-restaurants
CholaNad Restaurant,310 W Franklin St,Chapel Hill,NC,27516,(800) 246-5262,https://cholanad.com/,"CholaNad is the collective outcome of authentic South Indian cuisine and the passion to create an exciting fine dining experience. We believe in creating an interesting and unique place for you to enjoy our simple and great tasting “South Indian” food. Come and experience the true taste of South India at Cholanad, where culinary excellence is elevated to an art form.",https://www.downtownchapelhill.com/bars-restaurants
Clouds Storm Cellar,157 E Franklin St #100,Chapel Hill,NC,27514,(919) 747-4863,https://www.cloudsbrewing.com/chabout,"clouds STORM CELLAR In 2024 we opened the newest Clouds Brewing location in the former site of The Rathskeller on Historic Franklin Street in Chapel Hill! A cozy basement bar with 50+ taps, cocktails, and more, it’s the perfect place to take in a UNC game or enjoy some live music.",https://www.downtownchapelhill.com/bars-restaurants
Cold Stone Creamery,131 E Franklin St,Chapel Hill,NC,27514,(919) 914-6193,https://www.coldstonecreamery.com/stores/20861,"Skip the line and order your favorite ice cream Creation, ice cream cookie sandwiches or ice cream cupcakes online for pick-up or delivery. Cold Stone Creamery also has specialty cakes for every occasion. There is always something to celebrate, so stop in at Cold Stone Creamery Chapel Hill, NC .",https://www.downtownchapelhill.com/bars-restaurants
Cosmic Cantina,118 E Franklin St 919-960-3955,Chapel Hill,NC,27514,(919) 960-3955,https://www.cosmiccantina.com/Chapel_Hill/index.php,"Want to show your love for the great food and people of the Cosmic Cantina? Well, now you can... and look great while you're at it. Get yourself an organic cotton shirt, an organic hemp hat, or both!",https://www.downtownchapelhill.com/bars-restaurants
Crossroads Restaurant at The Carolina Inn,211 Pittsboro St,Chapel Hill,NC,27516,(919) 918-2777,https://www.opentable.com/crossroads-chapel-hill,,https://www.downtownchapelhill.com/bars-restaurants
Crumbl Cookies,133 W Franklin St,Chapel Hill,NC,27516,(984) 261-2222,https://crumblcookies.com/ncchapelhill,By checking this box I agree to receiving future marketing communications regarding Crumbl Cookies promotions from [email protected] . I understand that I am able to unsubscribe from these communications at any time using the unsubscribe link.,https://www.downtownchapelhill.com/bars-restaurants
Dead Mule Club,303 W Franklin St,Chapel Hill,NC,27516,(919) 969-7659,https://deadmule.squarespace.com/mulekitchen,,https://www.downtownchapelhill.com/bars-restaurants
Epilogue Books Chocolate Brews,109 E Franklin St #100,Chapel Hill,NC,27514,(919) 913-5055,https://epiloguebookcafe.com/,,https://www.downtownchapelhill.com/bars-restaurants
Four Corners,175 East Franklin Street,Chapel Hill,NC,27514,(919) 537-8230,http://www.fourcornersgrille.com/,"I absolutely LOVE this place!!! I just discovered it last saturday night, and have gone back twice since! Great place to sit back and watch the game with some delicious food and a great beer selection! The staff are all so nice and hospitable, and seem genuinely happy to serve you...",https://www.downtownchapelhill.com/bars-restaurants
Franklin Motors Beer Garden,601 W Franklin St,Chapel Hill,NC,27516,(919) 869-7090,https://www.franklinmotors.net/,"We're located on historic Franklin Street in Chapel Hill, NC, in the heart of the Midway District on the Chapel Hill - Carrboro line. As Chapel Hill's first and only beer garden, we've set the bar high. In addition to serving over 20 taps of seasonal brewed beer and ciders and a plethora of bottles and cans, we have a delicious menu of food served from our on-site food truck.",https://www.downtownchapelhill.com/bars-restaurants
Goodfellows,2 East Franklin Street,Chapel Hill,NC,27514,(919) 960-8685,https://goodfellowschapelhill.com/,"Grab a Pickleback 149 1/2 East Franklin Street, Chapel Hill, North Carolina 27514",https://www.downtownchapelhill.com/bars-restaurants
Grk Yeero,169 E FRANKLIN STREET,Chapel Hill,NC,27514,(919) 240-7622,http://www.grkyeero.com/,Let us cater your next event. Grk Yeero is proud to offer Catering services for all occasions! Catering or call us today to schedule your Event Catering! 919-338-9988,https://www.downtownchapelhill.com/bars-restaurants
He’s Not Here,112 1/2 W Franklin St,Chapel Hill,NC,27516,(919) 942-7939,https://hesnotherenc.com/,"We get asked all the time, “How did He’s Not Here get its name?” To tell you the truth, we’ve heard a few stories behind the name. Some of those legends are:",https://www.downtownchapelhill.com/bars-restaurants
Heavenly Buffaloes,407 W Franklin St,Chapel Hill,NC,27516,(919) 914-6717,http://www.heavenlybuffaloes.com/chapel-hill,"Chapel Hill All the greatness of the original shack, but with indoor & outdoor seating, beer on tap, and plenty of screens. Address: 407 W Franklin St Chapel Hill, NC 27516 Phone: 919-914-6717 Hours: Sunday: 11 AM - 10 pm Mon - Thu: 11 am - mIDNIGHT Fri + Sat: 11 am - 2 am",https://www.downtownchapelhill.com/bars-restaurants
Hibachi & Company,153 E Franklin St,Chapel Hill,NC,27514,(919) 903-8428,http://www.hibachicompany.com/,,https://www.downtownchapelhill.com/bars-restaurants
I ♥ NY Pizza,106 W Franklin St #2516,Chapel Hill,NC,27516,(919) 968-4224,https://www.doordash.com/store/i-love-ny-pizza-chapel-hill-245479/?srsltid=AfmBOorUIsGaGAL-acP4MUuBQ6su9CVj0tk-z0Ra33LEG-IRWtrggXOZ,Discover a new favorite by trying the top pizzas in Chapel Hill. Local residents have made I Love New York Pizza one of the most popular in the area. Sample what they have to offer and see if you agre… more,https://www.downtownchapelhill.com/bars-restaurants
Imbibe,108 Henderson Street,Chapel Hill,NC,27514,(919) 259-0438,https://imbibenc.com/,"Imbibe Cajun Kitchen is a little piece of the Crescent City right here in Chapel Hill. We have an ever-changing array of Cajun food, fine wine, and a rotating selection of great local beers and ciders. Everything is available for takeout and delivery! Come in and join us sometime for dinner, jazz, and drinks. We’ll make you feel right at home.",https://www.downtownchapelhill.com/bars-restaurants
Insomnia Cookies,145 E Franklin St,Chapel Hill,NC,27514,(919) 336-0637,https://insomniacookies.com/locations/store/1079,,https://www.downtownchapelhill.com/bars-restaurants
Italian Pizzeria III,508 W Franklin St.,Chapel Hill,NC,27516,(919) 942-7678,https://www.italianpizzeria3.com/,﻿ Brothers Angelo and Vincenzo Marrone have been serving up authentic Italian pizza in Chapel Hill since 1980. IP3 has a full menu of fresh-dough pizza and other Italian specialties.,https://www.downtownchapelhill.com/bars-restaurants
