name,street,city,state,zip,phone,website,description,source_url
Ackland Art Museum,101 S Columbia St,Chapel Hill,NC,27599,(919) 966-5736,https://ackland.org/,"Archibald John Motley Jr., American, 1891-1981, Mending Socks , 1924, oil on canvas, 43 7/8 x 40 in. (111.4 x 101.6 cm), frame: 46 1/8 × 42 5/16 × 2 3/8 in. (117.2 × 107.5 × 6 cm), 58.1.2801. Burton Emmett Collection Conservation treatment for this painting, completed in 1997, was made possible by a grant from the Pforzheimer Foundation. Click on image to see uncropped.",https://www.downtownchapelhill.com/shops
Alumni Hall,133 W Franklin St #140,Chapel Hill,NC,27516,(919) 240-5523,https://www.alumnihall.com/north-carolina-tar-heels,,https://www.downtownchapelhill.com/shops
Brown’s Paint and Hardware,420 W Franklin St,Chapel Hill,NC,27516,(919) 968-3751,https://www.yelp.com/biz/browns-paint-and-hardware-chapel-hill,,https://www.downtownchapelhill.com/shops
Cat Tales Cafe,"431 W. Franklin St., Unit 210",Chapel Hill,NC,27516,(843) 345-5289,https://cattalescatcafe.com/,Our two story space on Franklin Street is home to 12 cats who are waiting for their perfect person. Guests can get to know the cats in our cage-free comfortable lounge.,https://www.downtownchapelhill.com/shops
Chapel Hill Florist,200 W Franklin St Suite 120,Chapel Hill,NC,27516,(919) 929-2903,https://www.chapelhillfloristltd.com/,Need flowers in Chapel Hill North Carolina? Chapel Hill Florist has exactly what you’re looking for! Shop our wide selection of flower arrangements and make your next occasion memorable. Visit our Gallery to see our custom work. Thanks for stopping by!,https://www.downtownchapelhill.com/shops
Chapel Hill Sportswear,119 E Franklin St,Chapel Hill,NC,27514,(919) 929-0060,http://www.chapelhillsportswear.com/,,https://www.downtownchapelhill.com/shops
Classic Carolina,171 E Franklin St.,Chapel Hill,NC,27514,(917) 667-2140,https://classiccarolinaunc.com/?srsltid=AfmBOooEl4YoaYNs463wd568wjpcIIuFk5E0_FTCH5wanwEYGE_Dd0_r,"The Women's Carolina Quarter-Zip Jacket is designed for ultimate comfort and versatility. With a relaxed fit and lightweight construction, this jacket is ideal for layering through any season. Its classic design offers a sleek, stylish look, while the breathable fabric ensures you stay comfortable...",https://www.downtownchapelhill.com/shops
Cloud 9,149 E Franklin St,Chapel Hill,NC,27514,(919) 338-6523,https://www.instagram.com/unccloud9?igsh=YThiMGlyNmZxcXMw,,https://www.downtownchapelhill.com/shops
Creative Metalsmiths,117 E. Franklin Street,Chapel Hill,NC,27514,(919) 967-2037,https://creativemetalsmiths.com/,"For 2024/25, the fifth edition of the Plus One Exhibition has traveled to multiple venues. Starting with Slovenia Jewelry Week in May of 2024, then onto Romanian Jewelry Week for October and for December 2024 the Exhibition will be on display at Le Arti Orafe in Florence Italy for two weeks, before heading to the U.S for its final stop at Creative Metalsmiths in North Carolina",https://www.downtownchapelhill.com/shops
D.B. Sutton & Co. Wine Shop,16 French Wine Tasting with The Olive Road,Chapel Hill,NC,27516,(919) 968-4247,https://www.dbsutton.com/wine,"Hailing from Central Pennsylvania, Dani has brought warmth to the store since joining in 2022 after finishing graduate school at UNC. She has always been enthusiastic about wine and loves helping people find their new favorite bottle! She is currently earning her level 2 wine certification with the Wine & Spirit Education Trust, which, paired with her background in organic chemistry, gives her a u",https://www.downtownchapelhill.com/shops
