name,street,city,state,zip,phone,website,description,source_url
106 Main,0570 Address 106 E Main St,Durham,NC,27701,(919) 680-0570,https://www.106maindurham.com/,We’re dedicated to making sure your time with us is unlike anything else you’ve experienced. Our professional crew behind the bar has carefully curated a list of world-renowned drinks that leave your mouth buzzing with layers of flavor. Don’t believe us? Come on by and see for yourself.,https://downtowndurham.com/dine-drink/
Aaktun Coffee + Bar,0875 Address 704 Ramseur St.,Durham,NC,27701,(919) 243-0875,https://x.com/intent/tweet?text=Aaktun%20Coffee%20+%20Bar&url=https://downtowndurham.com/directory/aaktun-coffee-bar/,"Aaktun coffee & Bar has a cozy atmosphere, friendly staff, and a menu bursting with mouthwatering dishes, it’s the perfect place to unwind and savor a delightful meal. Aaktun Coffee & Bar offers a relaxed setting with creative beverages and breakfast sandwiches.",https://downtowndurham.com/dine-drink/
Afters Dessert Bar,5456 Address 905 W Main St.,Durham,NC,27701,(919) 260-5456,https://www.brightleafdurham.com/afters,"A Dessert Bar serving small bites, cookie cakes, rotating seasonal desserts. Tucked away in Brightleaf Square. Chocolate chip cookies and chocolate boxes to single-serving coffee cakes, caramel brownies, and chocolate crémeux. Take-out, eat-in, catering and more.",https://downtowndurham.com/dine-drink/
Alimentari at Mothers & Sons,8841 Address 105 W Chapel Hill St,Durham,NC,27701,(919) 864-8841,https://www.alimentariatmothersandsons.com/,"Alimentari provides lunch, fresh pasta, sauces, cheeses, imported Italian specialties as well as fresh local produce and prepared foods. Each week they offer a selection of take and bake entrees and meal kits for you, your friends and family. Great spot to grab a midday sandwich.",https://downtowndurham.com/dine-drink/
allday at Unscripted Hotel,9500 Address 202 N Corcoran St,Durham,NC,27701,(984) 329-9500,http://www.unscriptedhotels.com/dining_en/,"allday is our take on a sundries market meets high end coffee bar/restaurant, designed to fit into your lifestyle morning, noon and night. It is the perfect place for you to grab a hearty breakfast, a quick snack or a cool sit down dinner.",https://downtowndurham.com/dine-drink/
Alley Twenty Six,2278 Address 320 E Chapel Hill St.,Durham,NC,27701,(984) 439-2278,http://www.alleytwentysix.com/,A local cocktail bar and restaurant located in downtown Durham featuring upscale food and cocktail pairings in a relaxed setting.,https://downtowndurham.com/dine-drink/
Anjappar,"1266 Address 201 E Main St., Suite 150",Cary,NC,27519,(919) 885-1266,https://x.com/intent/tweet?text=Anjappar&url=https://downtowndurham.com/directory/anjappar/,"Anjappar is serving a uthentic South Indian food . Dosas, curreis and kottu parota. Great lunch specials. Delicate flavors expertly combined to bring you an authentic taste of India.",https://downtowndurham.com/dine-drink/
Annexe,105 S Mangum St Unit #1,Durham,NC,27701,(919) 268-2303,https://www.annexedurham.com/,"Voted Best Late Night by Durham Magazine in 2022, Annexe is all about tasty adult beverages. Offers Bar Virgile’s menu most nights.",https://downtowndurham.com/dine-drink/
Arcana Bar,1675 Address 331 West Main St,Durham,NC,27701,(919) 973-1675,http://www.arcanadurham.com/,"Arcana provides a cozy, comfortable, intimate bar space. Wines, craft beers, and modern cocktails. Arcana is a space for artists, live performances, theater, dance, intimate conversation, and unwinding.",https://downtowndurham.com/dine-drink/
Ashleigh Bakes Daily,"307 W Main St., Suite 101",Durham,NC,27701,(919) 907-1096,https://www.ashleighbakesdaily.com/,"At Ashleigh Bakes Daily, we believe in the magic of homemade. Every dessert is hand-mixed—no machines, just love and tradition. From the first bite, our cookies take you back to childhood, evoking nostalgia and comfort with every crumb. And because we care about the planet as much as we care about taste, all our treats are packaged in eco-friendly containers that preserve freshness for whenever yo",https://downtowndurham.com/dine-drink/
