name,street,city,state,zip,phone,website,description,source_url
Anderson Community Park,302 Hwy 54 West,Carrboro,NC,,,http://www.carrbororec.org/parks.htm,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Anderson Softball Stadium,912 Raleigh Road,Chapel Hill,NC,,,http://www.goheels.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Battle Branch Trail,120 South Estes Drive,Chapel Hill,NC,,,http://www.townofchapelhill.org/town-hall/departments-services/parks-recreation/facilities-greenways-parks/greenways/battle-branch-trail,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Battle Park,174 Country Club Road,Chapel Hill,NC,,,http://ncbg.unc.edu/battle-park/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Blackwood Farm Park,4215 NC 86 South,Hillsborough,NC,,,http://www.orangecountync.gov/Facilities/Facility/Details/Blackwood-Farm-Park-2,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Bolin Creek Trail,120 South Estes Drive,Chapel Hill,NC,,,https://www.chapelhillnc.gov/Events-and-Activities/Find-a-Park-or-Greenway/Greenways,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Boshamer Stadium,235 Ridge Road,Chapel Hill,NC,,,http://www.goheels.com,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Brumley Forest Nature Preserve,3055 New Hope Church Rd.,Chapel Hill,NC,,,https://www.triangleland.org/explore/nature-preserves/brumley-forest-nature-preserve,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Cane Creek Reservoir,Highway 54 West,Chapel Hill,NC,,,https://www.owasa.org/recreation,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Carmichael Arena,301 South Road,Chapel Hill,NC,,,http://www.goheels.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Carolina Basketball Museum,450 Skipper Bowles Dr,Chapel Hill,NC,,,https://goheels.com/sports/2021/12/10/carolina-basketball-museum,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Chapel Hill - Carrboro YMCA,"980 Martin Luther King Jr., Blvd",Chapel Hill,NC,,,https://www.ymcatriangle.org/chapel-hill-carrboro-ymca,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Kenan Memorial Stadium,104 Stadium Dr.,Chapel Hill,NC,,,https://goheels.com/news/2012/11/9/205912861,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Lake Michael Park,7300 Lebanon Rd,Mebane,NC,,,/listing/lake-michael-park/488/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Little River Regional Park,301 Little River Park Way,Rougemont,NC,,,http://www.orangecountync.gov/Facilities/Facility/Details/Little-River-Regional-Park-Natural-Area-7,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Occoneechee Golf Club,1500 Lawrence Rd,Hillsborough,NC,,,http://occoneechee.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Orange County Speedway,9740 NC Highway 57,Rougemont,NC,,,http://www.ocstrack.net/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Orange County Sportsplex,101 Meadowland Dr,Hillsborough,NC,,,http://www.oc-sportsplex.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Progression Climbing,1713 Legion Rd,Chapel Hill,NC,,,http://www.climbprogression.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Riverwalk,Nash and Kollock Streets,Hillsborough,NC,,,https://www.hillsboroughnc.gov/community/recreation-facilities/riverwalk/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Robert & Pearl Seymour Center,2551 Homestead Road,Chapel Hill,NC,,,https://www.orangecountync.gov/3209/Hours-Locations,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Southern Community Park,1000 Dogwood Acres Dr,Chapel Hill,NC,,,https://www.townofchapelhill.org/government/departments-services/parks-and-recreation/parks/southern-community-park,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Tar Heel Escapes,140 West Franklin Street,Chapel Hill,NC,,,https://www.tarheelescapes.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
The Gathering Place,157 E. Rosemary Street,Chapel Hill,NC,,,https://thegatheringplacegames.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Triangle Area Polo @ Crooked Creek Farm,9239 Hester Rd,Hurdle Mills,NC,,,http://triangleareapolo.org/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
UNC Finley Fields,100 Old Mason Farm Road,Chapel Hill,NC,,,http://www.goheels.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
UNC Finley Golf Course,500 Finley Golf Course Road,Chapel Hill,NC,,,https://www.uncfinley.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
UNC Lacrosse & Soccer Stadium,324 South Road,Chapel Hill,NC,,,http://goheels.com/,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
UNC Ticket Office,450 Skipper Bowles Drive,Chapel Hill,NC,,,http://www.goheels.com/tickets,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
University Lake,130 University Lake Rd.,Chapel Hill,NC,,,https://www.owasa.org/recreation,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
Wilson Park,101 Williams St,Carrboro,NC,,,http://www.carrboro.com/parks.html,,https://www.visitchapelhill.org/things-to-do/sports-recreation/
